Date,Total Deceased,Growth Factor
2020-01-30,0,0.0
2020-01-31,0,0.0
2020-02-01,0,0.0
2020-02-02,0,0.0
2020-02-03,0,0.0
2020-02-04,0,0.0
2020-02-05,0,0.0
2020-02-06,0,0.0
2020-02-07,0,0.0
2020-02-08,0,0.0
2020-02-09,0,0.0
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,0,0.0
2020-02-14,0,0.0
2020-02-15,0,0.0
2020-02-16,0,0.0
2020-02-17,0,0.0
2020-02-18,0,0.0
2020-02-19,0,0.0
2020-02-20,0,0.0
2020-02-21,0,0.0
2020-02-22,0,0.0
2020-02-23,0,0.0
2020-02-24,0,0.0
2020-02-25,0,0.0
2020-02-26,0,0.0
2020-02-27,0,0.0
2020-02-28,0,0.0
2020-02-29,0,0.0
2020-03-01,0,0.0
2020-03-02,0,0.0
2020-03-03,0,0.0
2020-03-04,0,0.0
2020-03-05,0,0.0
2020-03-06,0,0.0
2020-03-07,0,0.0
2020-03-08,0,0.0
2020-03-09,0,0.0
2020-03-10,0,0.0
2020-03-11,0,0.0
2020-03-12,1,0.0
2020-03-13,1,0.0
2020-03-14,2,0.0
2020-03-15,2,0.0
2020-03-16,2,0.0
2020-03-17,3,0.0
2020-03-18,3,0.0
2020-03-19,4,0.0
2020-03-20,4,0.0
2020-03-21,4,0.0
2020-03-22,7,0.0
2020-03-23,9,0.6666666666666666
2020-03-24,10,0.5
2020-03-25,11,1.0
2020-03-26,16,5.0
2020-03-27,19,0.6
2020-03-28,24,1.6666666666666667
2020-03-29,27,0.6
2020-03-30,41,4.666666666666667
2020-03-31,47,0.42857142857142855
2020-04-01,53,1.0
2020-04-02,69,2.6666666666666665
2020-04-03,83,0.875
2020-04-04,96,0.9285714285714286
2020-04-05,118,1.6923076923076923
2020-04-06,134,0.7272727272727273
2020-04-07,161,1.6875
2020-04-08,181,0.7407407407407407
2020-04-09,227,2.3
2020-04-10,249,0.4782608695652174
2020-04-11,290,1.8636363636363635
2020-04-12,332,1.024390243902439
2020-04-13,359,0.6428571428571429
2020-04-14,396,1.3703703703703705
2020-04-15,423,0.7297297297297297
2020-04-16,449,0.9629629629629629
2020-04-17,487,1.4615384615384615
2020-04-18,522,0.9210526315789473
2020-04-19,560,1.0857142857142856
2020-04-20,593,0.868421052631579
2020-04-21,646,1.606060606060606
2020-04-22,682,0.6792452830188679
2020-04-23,722,1.1111111111111112
2020-04-24,781,1.475
2020-04-25,825,0.7457627118644068
2020-04-26,881,1.2727272727272727
2020-04-27,939,1.0357142857142858
2020-04-28,1008,1.1896551724137931
2020-04-29,1079,1.0289855072463767
2020-04-30,1154,1.056338028169014
2020-05-01,1231,1.0266666666666666
2020-05-02,1323,1.1948051948051948
2020-05-03,1463,1.5217391304347827
2020-05-04,1566,0.7357142857142858
2020-05-05,1694,1.2427184466019416
2020-05-06,1785,0.7109375
2020-05-07,1889,1.1428571428571428
2020-05-08,1986,0.9326923076923077
2020-05-09,2101,1.1855670103092784
2020-05-10,2213,0.9739130434782609
2020-05-11,2294,0.7232142857142857
2020-05-12,2414,1.4814814814814814
2020-05-13,2551,1.1416666666666666
2020-05-14,2648,0.708029197080292
2020-05-15,2752,1.0721649484536082
2020-05-16,2872,1.1538461538461537
2020-05-17,3024,1.2666666666666666
2020-05-18,3155,0.8618421052631579
2020-05-19,3301,1.1145038167938932
2020-05-20,3435,0.9178082191780822
2020-05-21,3583,1.1044776119402986
2020-05-22,3725,0.9594594594594594
2020-05-23,3867,1.0
2020-05-24,4023,1.0985915492957747
25-05-2020,0,1.0985915492957747
26-05-2020,0,1.0985915492957747
27-05-2020,0,1.0985915492957747
28-05-2020,0,1.0985915492957747
29-05-2020,0,1.0985915492957747
30-05-2020,0,1.0985915492957747
31-05-2020,0,1.0985915492957747
